scenario,base,type,sampleSize,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
1,absent,constant,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
2,absent,constant,4250,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
3,absent,constant,4250,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
4,absent,constant,1063,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
5,absent,constant,1063,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
6,absent,constant,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
7,absent,constant,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
8,absent,constant,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
9,absent,constant,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
10,absent,linear-high,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
11,absent,linear-high,4250,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
12,absent,linear-high,4250,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
13,absent,linear-high,1063,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
14,absent,linear-high,1063,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
15,absent,linear-high,1063,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
16,absent,linear-high,17000,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
17,absent,linear-high,17000,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
18,absent,linear-high,17000,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
19,absent,quadratic-high,4250,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
