scenario,base,type,sampleSize,weightType,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
1,absent,constant,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
2,absent,constant,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
3,absent,constant,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
4,absent,constant,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
5,absent,constant,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
6,absent,constant,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
7,absent,constant,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
8,absent,constant,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
9,absent,constant,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
10,absent,constant,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
11,absent,constant,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
12,absent,constant,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
13,absent,constant,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
14,absent,constant,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
15,absent,constant,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
16,absent,constant,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
17,absent,constant,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
18,absent,constant,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
19,absent,linear-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
20,absent,linear-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
21,absent,linear-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
22,absent,linear-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
23,absent,linear-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
24,absent,linear-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
25,absent,linear-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
26,absent,linear-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
27,absent,linear-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
28,absent,linear-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
29,absent,linear-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
30,absent,linear-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
31,absent,linear-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
32,absent,linear-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
33,absent,linear-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
34,absent,linear-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
35,absent,linear-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
36,absent,linear-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
37,absent,quadratic-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
38,absent,quadratic-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
39,absent,quadratic-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
40,absent,quadratic-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
41,absent,quadratic-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
42,absent,quadratic-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
43,absent,quadratic-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
44,absent,quadratic-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
45,absent,quadratic-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
46,absent,quadratic-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
47,absent,quadratic-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
48,absent,quadratic-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
49,absent,quadratic-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
50,absent,quadratic-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
51,absent,quadratic-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
52,absent,quadratic-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
53,absent,quadratic-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
54,absent,quadratic-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
55,absent,non-monotonic,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
56,absent,non-monotonic,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
57,absent,non-monotonic,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
58,absent,non-monotonic,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
59,absent,non-monotonic,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
60,absent,non-monotonic,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
